Park Name,Park Description,Park Location
Manitou Park,"Established in 1915, what was once a tourist camp is now filled with firs and grassy areas and a variety of recreational features.","4408 S. Manitou Park
Tacoma, WA"
McKinley Park,Pathways among the trees and new playground equipment draws residents from the surrounding neighborhood to enjoy the beauty of one of Tacoma's first parks (1901).,"907 Upper Park St.
Tacoma, WA"
Oak Tree Park,Oak Tree Park is a 25 acre parcel that comprises one of the last remnants of the Garry Oak habitat that used to dominate this part of the city.,"S 74th and Cedar St.
Tacoma, WA"
Puget Creek Natural Area,"At 66-acres, this natural area has one of only three salmon-bearing streams within the city.","N. Alder Way &amp; N. Lawrence St.
Tacoma, WA"
Ruston Way,"This two-mile long scenic waterfront with panoramic views of Commencement Bay is a great place for walking, jogging, rollerblading and fishing.","Ruston Way
Tacoma, WA"
Ryan's Park,"Surrounded on three sides by residential housing and an extensive green belt on the fourth side, the park features a paths, playground, bbq and picnic tables.","429 S. 80th St.
Tacoma, WA"
Sawyer Tot Lot,"Community effort developed this small play area from a vacant lot, giving neighborhood kids a safe place to play.","3315 S. Sawyer St.
Tacoma, WA"
Swan Creek Park,"This 290 acres of undeveloped land with primitive walking trails, is nestled on the boundary between Tacoma and Pierce County. Check out our new mountain bike trails!","Roosevelt &amp; E. 42nd St.
Tacoma, WA"
Verlo Playfield,"Established in 1928, this park features well established fields for sports as well as a new play and spray ground. (This park, previously known as McKinley Playfield, was renamed on March 31, 2014.)","4321 McKinley Ave.
Tacoma, WA
(47.217301, -122.420899)"
Irving Park,"Overlooking the Nalley Valley, this neighborhood park will soon feature a new basketball court, playground and picnic amenities.","2502 S. Hosmer St.
Tacoma, WA
(47.235996, -122.46159)"
Ursich Park,Ursich Park is wild and full of native habitat. It is a prime example of an urban greenbelt.,"2412 N. 29th St.
Tacoma, WA
(47.273824, -122.469163)"
McCarver Park,"This park reflects the Ukrainian heritage of Zina Linnik and is filled with activities she loved - a reading circle, playground with high tech interactive play equipment and tetherball.","2301 South J St.
Tacoma, WA
(47.239289, -122.447368)"
Wapato Park,"Wapato Park lies in a beautiful setting of lake and forest and is one of the most urban parks in the city. Visitors can enjoy display gardens, a walking trail around the lake and an impressive, historic pergola.","6500 S. Sheridan Ave.
Tacoma, WA
(47.19832, -122.45251)"
