User,Tweet,lat,long
susistuart,@BrettHamil We all know it's not supposed to start this afternoon!,47.6038321,-122.3300624
CurtisM40613460,@SportsRadioKJR @johncanzanobft @cliffavril @JasonPuckett20 So Rip city doesn't give a rip.,47.6038321,-122.3300624
Nmartin55,@NFCCHAMPS18 Yup. It’s a zoo,47.6859573,-122.1920249
AliWantsFood,@DavidVonderhaar To make the older call of duties and the games were actually finished. Now you guys got 3 years an… https://t.co/EZQml6yCxi,47.313494,-122.3393103
lilith2u,@mariecountryman @KittyBhagat @renemjclarke @bunkybun @MiddleEastEye @codepink @USCPR_ @jvplive @buell003… https://t.co/A77l4LWC4v,47.6038321,-122.3300624
ericsommer,"@networkindie and a few more! thank you, just like what you are doing, hope something here is of interest!… https://t.co/9MCv7bZkWC",38.8950092,-77.0365625
tmj_WAT_it,"Can you recommend anyone for this #IT job in #JointBaseLewisMcChord, WA? Click the link in our bio to see it and mo… https://t.co/VBHEaX3WZ1",47.03083425,-122.5074136
mattmarkovich,"@SEACityLight director says their priority is “make safe, communicate and restore” meaning downed power lines is wh… https://t.co/pUvgV2mrfk",47.6038321,-122.3300624
JLG1017,@NoRA4USA @ohtruthful1 @mattgaetz To Matt Gaetz: I think it would be fair to say that a good many of those 2704 Flo… https://t.co/akRjbsCEmy,38.8950092,-77.0365625
chrisnoessel,".@ElleForLanguage explains why voice user interfaces should obey politeness rules, to keep the humans polite.… https://t.co/VpmWZgxnzx",47.6038321,-122.3300624
WCTWoodland,Working hard in the cold #westcoasttraining #dozer #tradeschool #coldoutside #hardworking #wct #greatjob @ West Coa… https://t.co/l9okC7bcvn,38.8950092,-77.0365625
issakerteas,Feeling myself. https://t.co/C4y8jMBBBl,47.3826903,-122.2270272
ThePagz,@R3MJace @RaccoonsDead @PirateKingUNH That’s why I was laughing lol,47.6038321,-122.3300624
Lionesss67,@RepJayapal I couldn’t stand listening to you. The way you spoke to a grown man was just pathetic. You were a total… https://t.co/f0LgvTcS4m,47.8278656,-122.3053932
JeffVeillette,"When you think of ""driving play"" or ""play-driving linemates"" in hockey, what's the trait that most significantly co… https://t.co/htsQ0gfSdg",61.0666922,-107.9917071
SheenHunter,That the storm that made too many people empty the grocery stores actually didn't know they are preparing for our a… https://t.co/QHuw32TUp0,47.6038321,-122.3300624
tmj_wak_jobs,"Click the link in our bio to see currently open jobs like ""CNA, NAC - $1000 Sign On We HAVE DAILY PAY HERE - Royal… https://t.co/OALGqlbhx1",38.8950092,-77.0365625
