Name,Address,"City, State and ZIP Code",Location,Website
Children's Museum of Tacoma,1501 Pacific Ave,"Tacoma, WA 98402","1501 Pacific Ave
Tacoma, WA 98402
(47.249063, -122.437211)",Website (http://www.playtacoma.org/)
Museum of Glass,1801 Dock St,"Tacoma, WA 98402","1801 Dock St
Tacoma, WA 98402
(47.245401, -122.433714)",Website (http://museumofglass.org/visit)
Washington State History Museum,1911 Pacific Ave,"Tacoma, WA 98402","1911 Pacific Ave
Tacoma, WA 98402
(47.244424, -122.436107)",Website (http://www.washingtonhistory.org/visit/wshm/)
Foss Waterway Seaport,705 Dock St,"Tacoma, WA 98402","705 Dock St
Tacoma, WA 98402
(47.257877, -122.437283)",Website (http://www.fosswaterwayseaport.org/)
Tacoma Art Museum,1701 Pacific Ave,"Tacoma, WA 98402","1701 Pacific Ave
Tacoma, WA 98402
(47.247358731000475, -122.43718167799972)",Website (http://www.tacomaartmuseum.org/)
Buffalo Soldiers Museum,1940 S Wilkeson St,"Tacoma, WA 98405","1940 S. Wilkeson
Tacoma, WA 98405
(47.241232, -122.459177)",Website (http://www.buffalosoldierstacoma.org/)
Fort Nisqually Living History Museum,5400 N Pearl St,"Tacoma, WA 98407","5400 N Pearl St
Tacoma, WA 98407
(47.303523, -122.532254)",Website (http://www.metroparkstacoma.org/fort-nisqually-living-history-museum)
Job Carr Cabin Museum,2350 N 30th St,"Tacoma, WA 98403","2350 N 30th St
Tacoma, WA 98403
(47.274672, -122.468407)",Website (http://www.jobcarrmuseum.org/)
Karpeles Manuscript Museum,407 South G St,"Tacoma, WA 98405","407 S G St
Tacoma, WA 98405
(47.259421, -122.446885)",Website (http://rain.org/~karpeles/taqfrm.html)
LeMay - America's Car Museum,2702 E D St,"Tacoma, WA 98421","2702 E D St
Tacoma, WA 98421
(47.236193, -122.430495)",Website (http://www.lemaymuseum.org/)
